Company Name,Symbol,Headline,Date,Original_Sentiment,Ticker,VADER_Score,VADER_Label,Is_Hindi
State Bank of India,SBIN,"Rubicon Research, Sai Life, Sanathan Textiles, Metalman IPOs get nod",2024-11-07,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,Asian stocks climb after mixed tech results,2024-10-30,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,Prestige Estates stock in focus after Q2 net profit plunges 77.4% YoY,2024-10-30,Neutral,SBI,0.6404,Positive,0
State Bank of India,SBIN,"Oil & gas witness highest FPI selling; healthcare, power top on buying list",2024-11-07,Neutral,SBI,0.2023,Positive,0
State Bank of India,SBIN,How can I trade cryptocurrencies in India,2024-11-12,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,Power Grid shares in focus after reporting muted Q2 results,2024-11-07,Neutral,SBI,0.296,Positive,0
State Bank of India,SBIN,Swiggy sets IPO price band between Rs 371-390 per share,2024-10-28,Negative,SBI,0.296,Positive,0
State Bank of India,SBIN,Honasa stock plunges after poor Q2 show,2024-11-19,Positive,SBI,-0.4767,Negative,0
State Bank of India,SBIN,NSE discontinues weekly expiries for Bank Nifty,2024-11-13,Positive,SBI,0.4019,Positive,0
State Bank of India,SBIN,Fewer stocks suffer deep cuts in the current selloff,2024-11-21,Neutral,SBI,-0.6908,Negative,0
State Bank of India,SBIN,"ONGC shares jump over 2% after Q2 PAT surges 17% YoY to Rs 11,984 crore",2024-11-12,Neutral,SBI,0.296,Positive,0
State Bank of India,SBIN,Macquarie raises Zomato target prices but remains bearish,2024-11-13,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,DPIIT approves RCap's acquisition by IndusInd International Holdings,2024-11-20,Positive,SBI,0.4019,Positive,0
State Bank of India,SBIN,SBI and MAS bid to drive commercial applications of tokenised securities,2024-11-04,Neutral,SBI,0.296,Positive,0
State Bank of India,SBIN,"Afcons Infrastructure IPO subscribed 76% so far on last day of bidding. Check GMP, details",2024-10-29,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,Sovereign green bonds now eligible under FAR,2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Swiggy tops expectations with best major listing in a decade,2024-11-13,Positive,SBI,0.8176,Positive,0
State Bank of India,SBIN,Prosus gains $2 billion on Swiggy investment with IPO valuation,2024-11-13,Positive,SBI,0.34,Positive,0
State Bank of India,SBIN,D-Street likely to see $2.5 billion inflows as MSCI increases India weights,2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"Financials and renewables are the next big bets, says Nilesh Shah",2024-11-04,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,"PSMC secures initial IP payment from Tata for India's first 12-Inch wafer fab, eyes 2026 mass production",2024-11-04,Neutral,SBI,0.6486,Positive,0
State Bank of India,SBIN,"SBI agent shoots, kills man after suspected shoplifting in Apex, police say",2023-04-11,Neutral,SBI,-0.6597,Negative,0
State Bank of India,SBIN,Federal Judge Blocks Sweeping New Immigration Law in Texas (Gift Article),2024-02-29,Neutral,SBI,0.25,Positive,0
State Bank of India,SBIN,3 Top Dividend Stocks Offering Up To 7.8% Yield,2024-11-08,Negative,SBI,0.2023,Positive,0
State Bank of India,SBIN,"Q2 results today: SBI, Tata Motors among 152 companies to announce earnings on Friday",2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Ambuja Cements Q2 Results: Standalone profit falls 22% YoY to Rs 501 crore,2024-10-28,Negative,SBI,0.6404,Positive,0
State Bank of India,SBIN,Tech View: Nifty forms long bull candle for 2nd day. How to trade on Thursday,2024-11-06,Negative,SBI,0.6019,Positive,0
State Bank of India,SBIN,"NHPC Q2 results: PAT falls 41% YoY to Rs 909 crore, revenue up 4%",2024-11-07,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,IGL shares rally 5% even as Q2 net profit declines 18% YoY,2024-10-29,Neutral,SBI,1.0,Positive,0
State Bank of India,SBIN,"In times of volatility, RBI prefers safe-haven asset",2024-10-30,Neutral,SBI,0.3612,Positive,0
State Bank of India,SBIN,SBI USMNT Man of the Match: Christian Pulisic,2024-11-19,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,SBI hikes lending rates under MCLR by 0.05%,2024-11-14,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"SBI raises ГўвҖҡВ№10,000 crore via infra bonds",2024-11-18,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Sudeep Shah's top bets from PSU Banks and realty pack,2024-11-22,Neutral,SBI,0.2023,Positive,0
State Bank of India,SBIN,RINLГўвӮ¬в„ўs SBI-led lender consortium to go for uniform debt rejig,2024-11-01,Positive,SBI,-0.3612,Negative,0
State Bank of India,SBIN,Score High in SBI PO Quant with These Expert-Approved Techniques,2024-10-30,Neutral,SBI,-0.5574,Negative,0
State Bank of India,SBIN,SBI Chairman CS Setty predicts when RBI will cut raes next. It's not in December,2024-11-11,Negative,SBI,-0.2732,Negative,0
State Bank of India,SBIN,SBI delivers strong results. Is it still lagging competition?,2024-11-11,Negative,SBI,0.496,Positive,0
State Bank of India,SBIN,"Festive boost canГўвӮ¬в„ўt save SBI Cards stock from credit cost woes, says CLSA",2024-10-30,Neutral,SBI,0.8225,Positive,0
State Bank of India,SBIN,JPMorgan wary of SBI Cards stock amid rising credit risks & sluggish spend growth,2024-10-30,Neutral,SBI,0.3027,Positive,0
State Bank of India,SBIN,"ГўвӮ¬ЛңBanks, MFs compliment and not compete with each otherГўвӮ¬в„ў",2024-11-19,Positive,SBI,0.4767,Positive,0
State Bank of India,SBIN,"Rate cut unlikely even in February, inflation to dip January onwards: SBI research",2024-11-13,Positive,SBI,-0.2732,Negative,0
State Bank of India,SBIN,ГЈвӮ¬Е’Г©вӮ¬вҖқГӨВёЕ ГҘвҖәВҪГЈВҒВ®ГЈЖ’ЕҫГЈвҖҡВӨГЈвҖҡВҜГЈЖ’ВӯГЈЖ’вҖўГЈвҖҡВЎГЈвҖҡВӨГЈЖ’Е ГЈЖ’ВіГЈвҖҡВ№ГЈвӮ¬ВҚГЈвҖҡВ№ГЈвҖҡВҝГЈЖ’ВјГЈЖ’ЛҶГЈвҖҡВўГЈЖ’Ж’ГЈЖ’вҖ”ГЈВҒЕ’ГӨВ»Е ГҘВ№ВҙГҰЕ“вӮ¬ГҘВӨВ§Г§ВҙЕЎГЈВҒВ®ГҘВӨВ§ГҘЕҫвҖ№ГЁВӘВҝГ©ВҒвҖқГҜВјВҒГЈвҖҡВ№ГЈвҖҡВҝГЈЖ’ВјГЈЖ’ЛҶГЈвҖҡВўГЈЖ’Ж’ГЈЖ’вҖ”ГЈвҖҡВ·ГЈЖ’ВјГЈЖ’ВіГЈВҒВ®ГҰЕ“вӮ¬ГҰвҖ“В°ГҰЖ’вҖҰГҘВ ВұГЈвҖҡвҖҷГҘвҖҰВ¬Г©вҖ“вҖ№ГҜВјЛҶ2024ГҘВ№Вҙ10ГҰЕ“ЛҶГЁВівҖЎГ©вҖЎвҖҳГЁВӘВҝГ©ВҒвҖқГЈЖ’В©ГЈЖ’ВіГЈвҖҡВӯГЈЖ’ВіГЈвҖҡВ°ГҜВјвҖ°,2024-11-05,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,ГҰвҖ”ВҘГҰЕ“В¬ГҘЛҶВқГӨВёЕ Г©в„ўВёГҜВјВҒГҰЕЎвҖ”ГҘВҸВ·ГЁВівҖЎГ§вҖқВЈPEPEГҜВјЛҶГЈВҒВәГЈВҒВәГҜВјвҖ°ГҘВҸвҖ“ГЈвҖҡЕ ГҰвҖ°ВұГЈВҒвҖһГ©вҖ“вҖ№ГҘВ§вҖ№ГЈВҒВ®ГЈВҒЕ Г§ЕёВҘГЈвҖҡвҖ°ГЈВҒвҖә,2024-10-30,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,India roundup: Nvidia pivots to India as growth engine,2024-10-28,Negative,SBI,0.5818,Positive,0
State Bank of India,SBIN,SBI raises $500 million in five-year dollar bonds,2024-11-19,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,SBI Nagaon Branch hosts ГўвӮ¬ЛңVigilance Awareness WeekГўвӮ¬в„ў,2024-11-04,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,"SBI raises Rs 10,000 cr through infra bond issuance",2024-11-18,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Stock market update: Stocks that hit 52-week lows on NSE,2024-10-30,Neutral,SBI,-0.2023,Negative,0
State Bank of India,SBIN,"Closing Bell: Sensex closes 80,369.03, Nifty up by 0.52% at 127.70. Top gainers SBI, BEL",2024-10-29,Neutral,SBI,0.5423,Positive,0
State Bank of India,SBIN,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,2024-11-19,Positive,SBI,-0.2023,Negative,0
State Bank of India,SBIN,"SBI Q2 Results: PAT jumps 28% YoY to Rs 18,331 crore, beats estimates",2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Stock market update: Stocks that hit 52-week lows on NSE,2024-11-06,Negative,SBI,-0.2023,Negative,0
State Bank of India,SBIN,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,2024-10-30,Neutral,SBI,-0.2023,Negative,0
State Bank of India,SBIN,"SBI raises MCLR across three tenors by 5 bps, effective November 15",2024-11-15,Negative,SBI,0.4767,Positive,0
State Bank of India,SBIN,SBI seeks $1.25 billion in IndiaГўвӮ¬в„ўs largest bank loan of 2024,2024-11-15,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,The fear that rupee will depreciate sharply post Trump 2.0 is unfounded: SBI Research,2024-11-11,Negative,SBI,-0.4939,Negative,0
State Bank of India,SBIN,"SBI Card, Apollo Tyres among 5 stocks with long unwinding",2024-11-04,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,Digital asset trading technology firm Wyden secures $16.9 million Series B,2024-11-19,Positive,SBI,0.5859,Positive,0
State Bank of India,SBIN,"Share Markets Highlights November 21, 2024: Adani Group stocks nosedive; Sensex, Nifty trade lower as volatility persists",2024-11-21,Neutral,SBI,0.4019,Positive,0
State Bank of India,SBIN,SBI awarded Best Bank in India for 2024 by Global Finance Magazine,2024-10-28,Positive,SBI,0.7845,Positive,0
State Bank of India,SBIN,Indian PM Modi says he will do everything he can to help Ukraine,2023-05-22,Neutral,SBI,0.4019,Positive,0
State Bank of India,SBIN,"Bangladesh shuts down internet, imposes nationwide curfew to counter Student Protest",2024-07-19,Negative,SBI,-0.34,Negative,0
State Bank of India,SBIN,Banks Want Forged Paper Trails After Taking Money Illegally From Customers For Modi Govt's Flagship Schemes,2024-03-26,Positive,SBI,0.1779,Positive,0
State Bank of India,SBIN,"SBI set to borrow $1.25 billion, India's largest dollar-denominated bank loan in 2024; details here",2024-11-15,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Swiggy IPO subscribed 0.11 times so far on day 1 of bidding,2024-11-06,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Swiggy IPO subscribed 0.09 times so far on day 1 of bidding,2024-11-06,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,Japan's SBI to launch first Saudi Arabia biotech fund,2024-11-18,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"Brokerages tweak model portfolios on lackluster Q2 earnings, list top stocks to buy",2024-11-20,Positive,SBI,0.2023,Positive,0
State Bank of India,SBIN,Japan's SBI Expands Singapore's Tokenization Project with New Pilots,2024-11-04,Neutral,SBI,0.1027,Positive,0
State Bank of India,SBIN,"SBI Holdings, Inc. (OTCMKTS:SBHGF) Short Interest Up 60.7% in October",2024-10-28,Positive,SBI,0.4588,Positive,0
State Bank of India,SBIN,"Solex Energy, SBI partner to provide finance for solar projects",2024-10-28,Positive,SBI,0.2732,Positive,0
State Bank of India,SBIN,SBI launches innovation hub at Singapore Fintech Festival,2024-11-07,Neutral,SBI,0.7003,Positive,0
State Bank of India,SBIN,"Tech Query: What is the outlook for Manappuram Finance, NHPC, SBI Cards and Payment Services?",2024-10-28,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,Stock market update: Stocks that hit 52-week lows on NSE,2024-11-19,Positive,SBI,-0.2023,Negative,0
State Bank of India,SBIN,SBI net up 28% at Rs18k cr in September quarter,2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"Americans Abroad Weekend Preview: Scally, Adams, and more",2024-11-06,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"SBI warns customers about this latest money fraud: What is APK fraud, tips to protect yourself",2024-11-04,Neutral,SBI,-0.9506,Negative,0
State Bank of India,SBIN,"The Human Cost of JapanГўвӮ¬в„ўs Tech Boom: AI, Robots, and NFTs",2024-11-14,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"NTPC Green IPO to open on November 19, can be subscribed for long term gains: SBI Securities",2024-11-18,Negative,SBI,0.5574,Positive,0
State Bank of India,SBIN,"Americans Abroad Midweek Preview: Holmes, Pulisic, and more",2024-10-28,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"Americans Abroad Weekend Preview: Trusty, Morris, and more",2024-10-30,Neutral,SBI,0.4939,Positive,0
State Bank of India,SBIN,"Americans Abroad Weekend Rewind: Pepi, Tillman, and more",2024-10-28,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,"SBI, HDFC Bank and ICICI Bank continue to be identified as Domestic Systemically Important Banks: RBI",2024-11-13,Positive,SBI,0.2023,Positive,0
State Bank of India,SBIN,"Americans Abroad Midweek Rewind: Cowell, Zendejas, and more",2024-11-07,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,UPSSSC Health Worker Recruitment Examination 2024,2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,"SBI MF becomes first to surpass ГўвҖҡВ№10 lakh crore AUM, outpacing ICICI and HDFC",2024-11-04,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,#StartupTicker - +++ The Exploration Company +++ KoRo +++ Qplix +++ Zeotap +++ Eye-Able +++ apaleo +++ Oceansapart +++,2024-11-25,Neutral,SBI,0.2263,Positive,0
State Bank of India,SBIN,SBI named Best Bank in India for 2024 by Global Finance Magazine,2024-10-28,Positive,SBI,0.6369,Positive,0
State Bank of India,SBIN,"SBI Q2 PAT rises 28 per cent to ГўвҖҡВ№18,331 crore on higher other income",2024-11-08,Negative,SBI,0.0,Neutral,0
State Bank of India,SBIN,UPSC Assistant Programmer CBI Recruitment 12/2024,2024-11-12,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,SBI Card Q2 Net Down 33 percent to ГўвҖҡВ№ 404 crore,2024-10-29,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,"PIB fact checks SBI rewards scam, warns 'never click unknown links, files'. Check details here",2024-11-04,Positive,SBI,-0.25,Negative,0
State Bank of India,SBIN,[Removed],2024-11-21,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,5 major money changes in November 2024: Credit card rules to special FD deadline,2024-11-04,Positive,SBI,0.6486,Positive,0
State Bank of India,SBIN,SBIГЈЖ’вҖәГЈЖ’ВјГЈЖ’В«ГЈЖ’вҖЎГЈвҖҡВЈГЈЖ’ВіГЈвҖҡВ°ГЈвҖҡВ№ГҰВ ВӘГҘВјВҸГӨВјЕЎГ§ВӨВҫГЈВҒВЁГҰВ ВӘГҘВјВҸГӨВјЕЎГ§ВӨВҫГҰвҖ“В°ГҰвҖ”ВҘГҰЕ“В¬Г§В§вҖҳГҘВӯВҰГЈВҒВ«ГЈвҖҡЛҶГЈвҖҡвҖ№ГҘвҖҰВұГҘВҗЕ’ГЈЖ’вҖўГЈвҖҡВЎГЈЖ’ВіГЈЖ’вҖ°ГЈВҒВЁГ§ВұВіГҘвҖәВҪPlug and PlayГЈВҒЕ’ГЈЖ’вҖҳГЈЖ’ВјГЈЖ’ЛҶГЈЖ’Е ГЈЖ’ВјГЈвҖҡВ·ГЈЖ’Ж’ГЈЖ’вҖ”ГҘВҘвҖҳГ§ВҙвҖһГ§В·В Г§ВөВҗ,2024-11-20,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,Latest SBI home loan interest rates: State Bank of India hikes lending rates for these tenures,2024-11-15,Negative,SBI,0.4588,Positive,0
State Bank of India,SBIN,"Govt steps in to save RINL from closure with ГўвҖҡВ№1,640 crore initial bailout,",2024-11-04,Positive,SBI,0.4215,Positive,0
State Bank of India,SBIN,Tim WalzГўвӮ¬в„ўs Minnesota state investment board stepped up contributions to Chinese funds during his tenure,2024-10-29,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,Deven Choksey on 2 themes to bet on in a volatile market,2024-11-19,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,FM unveils specially minted ГўвҖҡВ№100 commemorative coin to mark centenary of SBIГўвӮ¬в„ўs Horniman Circle Branch,2024-11-19,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,"GTN and SBI Group collaborate to launch ""SBI Saudi Arabia Equity Exchange Traded Fund (ETF)""",2024-11-04,Neutral,SBI,0.0,Neutral,0
State Bank of India,SBIN,"New credit card rules: SBI Card increases these credit card charges from November 1, 2024; check details",2024-10-30,Neutral,SBI,0.4767,Positive,0
State Bank of India,SBIN,SBI appoints Debasish Mishra as Chief General Manager of its New Delhi Circle,2024-11-04,Positive,SBI,0.0,Neutral,0
State Bank of India,SBIN,Finovate Global Indonesia: Sharia-Compliant Banking and the Rise of Lending-as-a-Service,2024-11-08,Negative,SBI,0.2,Positive,0
,,"4400 аӨ•аҘҖ аӨ—аӨІаӨӨаҘҖ аӨ•аҘҮ аӨҸаӨөаӨң аӨ®аҘҮаӨӮ аӨ•аӨ°аӨЁаӨҫ аӨ№аҘӢаӨ—аӨҫ 1.70 аӨІаӨҫаӨ– аӨ°аҘҒаӨӘаӨҜаҘҮ аӨ•аӨҫ аӨӯаҘҒаӨ—аӨӨаӨҫаӨЁ, аӨ®аӨ№аӨҝаӨІаӨҫ аӨ•аӨёаҘҚаӨҹаӨ®аӨ° аӨ•аҘҖ аӨ¶аӨҝаӨ•аӨҜаӨӨ аӨӘаӨ° SBI аӨ¬аҘҲаӨӮаӨ• аӨҰаҘӢаӨ·аҘҖ аӨ•аӨ°аӨҫаӨ°",2025-11-13,,SBI,0.0,Neutral,1
,,"SBI PO Vacancy 2025: аӨҶаӨЁаҘҮ аӨөаӨҫаӨІаҘҮ 5 аӨ®аӨ№аҘҖаӨЁаҘӢаӨӮ аӨ®аҘҮаӨӮ аӨӘаҘҖаӨ“-аӨёаҘҖаӨ¬аҘҖаӨ“ аӨ•аҘҮ 3500 аӨӘаӨҰаҘӢаӨӮ аӨӘаӨ° аӨ№аҘӢаӨ—аҘҖ аӨӯаӨ°аҘҚаӨӨаҘҖ, аӨ®аӨ№аӨҝаӨІаӨҫаӨ“аӨӮ аӨ•аҘҮ аӨІаӨҝаӨҸ аӨӯаҘҖ аӨўаҘҮаӨ°аҘӢаӨӮ аӨ®аҘҢаӨ•аҘҮ",2025-10-27,,SBI,-0.5574,Negative,1
,,"SBI Bank Robbery: аӨ•аӨ°аҘҚаӨЁаӨҫаӨҹаӨ• аӨ®аҘҮаӨӮ SBI аӨ¬аҘҲаӨӮаӨ• аӨ®аҘҮаӨӮ аӨӯаҘҖаӨ·аӨЈ аӨЎаӨ•аҘҲаӨӨаҘҖ, аӨІаҘҒаӨҹаҘҮаӨ°аҘӢаӨӮ аӨЁаҘҮ 58 аӨ•аӨҝаӨІаҘӢ аӨёаҘӢаӨЁаӨҫ аӨ”аӨ° 8 аӨ•аӨ°аҘӢаӨЎаӨј аӨ•аҘҲаӨ¶ аӨ•аӨҝаӨҜаӨҫ аӨёаӨҫаӨ«, аӨӨаӨІаӨҫаӨ¶аҘҖ аӨ…аӨӯаӨҝаӨҜаӨҫаӨЁ аӨңаӨҫаӨ°аҘҖ",2025-09-17,,SBI,0.0,Neutral,1
,,"SBI Specialist Officer Recruitment: 122 аӨӘаӨҰаҘӢаӨӮ аӨӘаӨ° аӨӯаӨ°аҘҚаӨӨаҘҖ аӨ•аҘҮ аӨІаӨҝаӨҸ аӨҶаӨөаҘҮаӨҰаӨЁ аӨ¶аҘҒаӨ°аҘӮ, аӨҸаӨ• аӨІаӨҫаӨ– аӨӨаӨ• аӨ®аӨҝаӨІаҘҮаӨ—аҘҖ аӨёаҘҲаӨІаӨ°аҘҖ",2025-09-15,,SBI,0.0,Neutral,1
,,"аӨӨаҘҮаӨІаӨӮаӨ—аӨҫаӨЁаӨҫ аӨ®аҘҮаӨӮ аӨ•аҘҲаӨ¶аӨҝаӨҜаӨ° аӨЁаҘҮ аӨ«аӨҝаӨІаҘҚаӨ®аҘҖ аӨ…аӨӮаӨҰаӨҫаӨң аӨ®аҘҮаӨӮ аӨҰаӨҝаӨҜаӨҫ аӨҡаҘӢаӨ°аҘҖ аӨ•аҘӢ аӨ…аӨӮаӨңаӨҫаӨ®, аӨ¬аҘҲаӨӮаӨ• аӨёаҘҮ аӨүаӨЎаӨјаӨҫаӨҜаӨҫ 20 аӨ•аӨҝаӨІаҘӢ аӨёаҘӢаӨЁаӨҫ аӨ”аӨ° вӮ№1.1 аӨ•аӨ°аҘӢаӨЎаӨј аӨ•аҘҲаӨ¶!",2025-09-01,,SBI,0.0,Neutral,1
,,"SBI Clerk Recruitment 2025:6,500 аӨёаҘҮ аӨңаҘҚаӨҜаӨҫаӨҰаӨҫ аӨӘаӨҰаҘӢаӨӮ аӨ•аҘҮ аӨІаӨҝаӨҸ 26 аӨ…аӨ—аӨёаҘҚаӨӨ аӨ•аҘӢ аӨ¬аӨӮаӨҰ аӨ№аҘӢ аӨңаӨҫаӨҸаӨ—аӨҫ аӨӘаӨӮаӨңаҘҖаӨ•аӨ°аӨЈ, аӨңаӨІаҘҚаӨҰ аӨ•аӨ°аҘҮаӨӮ аӨ…аӨӘаҘҚаӨІаӨҫаӨҲ",2025-08-21,,SBI,0.0,Neutral,1
